Título;;;;;;;;;;
V: Tipo de vivienda;;;;;;;;;;
Área Geográfica;;;;;;;;;;
Lima;;;;;;;;;;
Universo;;;;;;;;;;
Viviendas Particulares;;;;;;;;;;
;;;;;;;;;;
;Código;Distrito;Casa Independiente;Departamento en edificio;Vivienda en quinta;Vivienda en casa de vecindad (Callejón, solar o corralón);Choza o cabaña;Vivienda improvisada;Local no destinado para habitación humana;
;150603;Lima, Huaral, distrito: Atavillos Bajo;    961;    0;    0;    0;    3;    0;    0;
;150604;Lima, Huaral, distrito: Aucallama;   6 606;    18;    21;    15;    7;    144;    1;
;150605;Lima, Huaral, distrito: Chancay;   16 404;    625;    342;    115;    13;    321;    12;
;150606;Lima, Huaral, distrito: Ihuari;   1 701;    0;    0;    0;    43;    0;    0;
;150607;Lima, Huaral, distrito: Lampian;    419;    0;    0;    0;    0;    0;    0;
;150608;Lima, Huaral, distrito: Pacaraos;    996;    0;    0;    21;    39;    0;    2;
;150609;Lima, Huaral, distrito: San Miguel de Acos;    446;    0;    0;    8;    0;    1;    0;
;150610;Lima, Huaral, distrito: Santa Cruz de Andamarca;    411;    0;    0;    0;    0;    0;    0;
;150611;Lima, Huaral, distrito: Sumbilca;   1 388;    0;    2;    0;    6;    1;    1;
;150612;Lima, Huaral, distrito: Veintisiete de Noviembre;    388;    0;    0;    0;    8;    0;    0;
;150701;Lima, Huarochirí, distrito: Matucana;   2 156;    7;    17;    36;    128;    2;    0;
;150702;Lima, Huarochirí, distrito: Antioquia;    928;    0;    0;    0;    4;    0;    3;
;150703;Lima, Huarochirí, distrito: Callahuanca;    406;    0;    0;    0;    0;    0;    0;
;150704;Lima, Huarochirí, distrito: Carampoma;    342;    0;    0;    0;    31;    0;    0;
;150705;Lima, Huarochirí, distrito: Chicla;    915;    18;    39;    388;    3;    1;    0;
;150706;Lima, Huarochirí, distrito: Cuenca;    348;    0;    0;    0;    3;    1;    1;
;150707;Lima, Huarochirí, distrito: Huachupampa;    268;    0;    2;    4;    17;    0;    1;
;150708;Lima, Huarochirí, distrito: Huanza;    473;    0;    0;    0;    16;    0;    1;
;150709;Lima, Huarochirí, distrito: Huarochirí;   1 183;    0;    0;    21;    9;    1;    0;
;150710;Lima, Huarochirí, distrito: Lahuaytambo;    630;    0;    0;    0;    9;    0;    0;
;150711;Lima, Huarochirí, distrito: Langa;    994;    0;    7;    16;    4;    0;    0;
;150712;Lima, Huarochirí, distrito: San Pedro de Laraos;    249;    0;    0;    0;    8;    0;    0;
;150713;Lima, Huarochirí, distrito: Mariatana;    895;    0;    0;    0;    90;    1;    2;
;150714;Lima, Huarochirí, distrito: Ricardo Palma;   1 758;    88;    60;    16;    0;    142;    0;
;150715;Lima, Huarochirí, distrito: San Andrés de Tupicocha;    755;    0;    0;    3;    3;    2;    1;
;150716;Lima, Huarochirí, distrito: San Antonio;    551;    0;    0;    0;    169;    0;    2;
;150717;Lima, Huarochirí, distrito: San Bartolomé;    816;    0;    2;    0;    89;    3;    2;
;150718;Lima, Huarochirí, distrito: San Damian;    769;    0;    43;    23;    102;    0;    0;
;150719;Lima, Huarochirí, distrito: San Juan de Iris;    170;    0;    0;    0;    6;    0;    1;
;150720;Lima, Huarochirí, distrito: San Juan de Tantaranche;    243;    0;    3;    0;    41;    0;    0;
;150721;Lima, Huarochirí, distrito: San Lorenzo de Quinti;   1 101;    0;    30;    2;    77;    6;    1;
;150722;Lima, Huarochirí, distrito: San Mateo;   1 754;    15;    33;    22;    40;    0;    7;
;150723;Lima, Huarochirí, distrito: San Mateo de Otao;   1 020;    0;    0;    0;    24;    0;    0;
;150724;Lima, Huarochirí, distrito: San Pedro de Casta;    551;    0;    0;    0;    0;    1;    0;
;150725;Lima, Huarochirí, distrito: San Pedro de Huancayre;    169;    0;    0;    0;    35;    0;    0;
;150726;Lima, Huarochirí, distrito: Sangallaya;    555;    0;    0;    6;    6;    0;    0;
;150727;Lima, Huarochirí, distrito: Santa Cruz de Cocachacra;    870;    0;    0;    12;    0;    1;    1;
;150728;Lima, Huarochirí, distrito: Santa Eulalia;   2 990;    45;    19;    6;    2;    25;    12;
;150729;Lima, Huarochirí, distrito: Santiago de Anchucaya;    277;    0;    5;    5;    10;    1;    0;
;150730;Lima, Huarochirí, distrito: Santiago de Tuna;    533;    0;    8;    0;    0;    0;    1;
;150731;Lima, Huarochirí, distrito: Santo Domingo de los Olleros;   1 383;    0;    0;    0;    240;    1;    1;
;150732;Lima, Huarochirí, distrito: Surco;    766;    0;    2;    11;    13;    1;    1;
;150801;Lima, Huaura, distrito: Huacho;   19 264;   2 409;    627;    467;    21;   2 450;    15;
;150802;Lima, Huaura, distrito: Ambar;   1 255;    0;    0;    0;    65;    0;    0;
;150803;Lima, Huaura, distrito: Caleta de Carquin;   1 618;    94;    2;    3;    21;    2;    2;
;150804;Lima, Huaura, distrito: Checras;    991;    0;    0;    6;    25;    1;    2;
;150805;Lima, Huaura, distrito: Hualmay;   7 681;    429;    178;    274;    0;    22;    10;
;150806;Lima, Huaura, distrito: Huaura;   10 319;    174;    23;    53;    28;    16;    7;
;150807;Lima, Huaura, distrito: Leoncio Prado;   1 259;    0;    0;    0;    3;    1;    0;
;150808;Lima, Huaura, distrito: Paccho;   1 305;    0;    0;    0;    0;    0;    0;
;150809;Lima, Huaura, distrito: Santa Leonor;    754;    0;    0;    0;    4;    0;    1;
;150810;Lima, Huaura, distrito: Santa María;   12 880;    177;    99;    143;    126;    173;    11;
;150811;Lima, Huaura, distrito: Sayan;   7 847;    5;    25;    97;    181;    453;    10;
;150812;Lima, Huaura, distrito: Vegueta;   10 115;    2;    3;    56;    22;    998;    1;
;150901;Lima, Oyón, distrito: Oyón;   3 803;    12;    82;    396;    145;    3;    1;
;150902;Lima, Oyón, distrito: Andajes;    650;    0;    0;    2;    45;    0;    0;
;150903;Lima, Oyón, distrito: Caujul;    398;    0;    0;    0;    7;    0;    3;
;150904;Lima, Oyón, distrito: Cochamarca;    570;    0;    0;    0;    0;    0;    0;
;150905;Lima, Oyón, distrito: Navan;    568;    0;    0;    0;    5;    0;    0;
;150906;Lima, Oyón, distrito: Pachangara;   1 155;    0;    0;    8;    4;    11;    0;
;151001;Lima, Yauyos, distrito: Yauyos;   1 163;    0;    2;    7;    15;    0;    0;
;151002;Lima, Yauyos, distrito: Alis;    248;    0;    0;    0;    0;    0;    0;
;151003;Lima, Yauyos, distrito: Allauca;    752;    0;    0;    0;    13;    1;    1;
;151004;Lima, Yauyos, distrito: Ayaviri;    430;    0;    0;    5;    0;    0;    0;
